desmondo@Rays:~/Documents/CSAPP/chapter_6/mountain$ ./mountain
Clock frequency is approx. 1695.9 MHz
Memory mountain (MB/sec)
        s1      s2      s3      s4      s5      s6      s7      s8      s9      s10     s11     s12     s13     s14     s15 
128m    9846    5322    3587    2621    2050    1705    1440    1226    1121    1056    996     941     908     883     858 
64m     9875    5363    3535    2600    2050    1701    1443    1213    1119    1052    994     942     909     874     861 
32m     9925    5314    3596    2639    2018    1686    1437    1223    1149    1056    983     937     885     882     831 
16m     9924    5344    3557    2614    2040    1694    1431    1215    1134    1085    989     937     907     887     904 
8m      10324   5685    3779    2830    2146    1789    1534    1348    1248    1187    1183    1118    1125    1100    1082    
4m      10668   6512    4453    3390    2792    2283    2031    1801    1745    1668    1745    1801    1941    2072    2206    
2m      12977   8970    7584    6218    5153    4366    3783    3348    3337    3379    3332    3300    3337    3067    3392    
1024k   13841   9455    8340    6711    5435    4590    3989    3510    3502    3492    3479    3476    3464    3461    3458    
512k    14056   9734    8526    6849    5536    4660    4007    3505    3500    3480    3494    3496    3632    3675    3873    
256k    14291   12606   11506   10554   9723    8783    7681    7282    7686    7725    7795    7974    7942    6930    5670    
128k    14316   12824   11957   10929   10382   9588    8403    7946    7959    7956    7645    8075    8061    7903    7690    
64k     14395   12906   11986   11088   10277   9874    8450    8017    8008    7904    7917    7816    7681    7845    10150   
32k     14995   14764   14482   14323   14230   13823   13806   11874   13304   13890   13762   13538   12073   13228   13181   
16k     15184   14939   14701   14442   13995   13779   13637   11132   11604   12921   11745   10767   11188   10443   13323
