desmondo@Rays:~/Documents/CSAPP/chapter_6/mountain$ ./mountain
Clock frequency is approx. 1649.8 MHz
Memory mountain (MB/sec)
		s1		s2		s3		s4		s5		s6		s7		s8		s9		s10		s11		s12		s13		s14		s15	
128m	9599	5247	3516	2556	2023	1687	1425	1221	1120	1051	992		948		912		879		856	
64m		9566	5177	3535	2583	1979	1701	1435	1243	1139	1062	998		955		911		891		860	
32m		9860	5310	3524	2563	2041	1687	1437	1237	1155	1059	995		955		925		900		877	
16m		9843	5298	3526	2545	2042	1696	1438	1254	1162	1069	1005	963		925		904		921	
8m		9932	5311	3525	2648	2068	1702	1462	1249	1142	1142	1200	1149	1136	1146	1189	
4m		10493	6381	4376	3065	2459	2036	1713	1749	1796	1753	1762	1906	2015	1590	1776	
2m		12907	8675	7050	5764	4700	4067	3574	3086	3098	3158	3134	3119	3229	3180	3050	
1024k	13121	9200	8178	6631	5382	4535	3900	3415	3406	3388	3385	3379	3374	3374	3364	
512k	13599	9441	8293	6680	5385	4532	3901	3410	3408	3407	3413	3481	3540	3628	3793	
256k	12903	10187	9392	9331	8002	7012	6491	5671	6087	6296	6472	6253	6374	5890	6840	
128k	12966	11756	10931	10806	9856	9293	8187	7971	6812	7938	7962	7876	7690	7746	7504	
64k		13948	12599	12001	10139	9365	8722	7677	7159	7289	7094	7065	7061	6931	7079	9301	
32k		13777	13556	13487	12774	12886	12926	12744	10935	12157	12747	13207	12075	10884	12374	11892	
16k		13749	13556	13211	12537	12930	12832	12494	10333	10426	11905	10822	9791	10240	9370	13247
